MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,rho_eff_360,dtm2000_rho,nrlmsise00_rho
60069.08277777778,58.30370869487524,-116.54676044881344,-94.12476667109877,-1.3685310182806804e-12,2.735638269411645e-12,2.2093390911366255e-12,7.078488486189238e-13,1.711060681451551e-12,"(1.1655008253477982e-12, Timestamp('2023-05-05 01:59:12'))","(1.1177906131636561e-12, Timestamp('2023-05-05 01:59:12'))"
60069.083125,55.62164753302932,-109.77250372463216,-93.6860824495347,-1.3054188112226203e-12,2.576318711739812e-12,2.1987765520025615e-12,7.150415587246157e-13,1.7124868452205188e-12,"(1.171754564206865e-12, Timestamp('2023-05-05 01:59:42'))","(1.1194683464849898e-12, Timestamp('2023-05-05 01:59:42'))"
60069.08347222222,25.13481004163623,-103.69680442996324,-93.45734099989964,-5.898310451077268e-13,2.4334217935181632e-12,2.1931353777349473e-12,7.255567078303121e-13,1.7169021368881833e-12,"(1.176471290665311e-12, Timestamp('2023-05-05 02:00:12'))","(1.1224835561259287e-12, Timestamp('2023-05-05 02:00:12'))"
60069.083819444444,38.23523327335715,-97.63838080478212,-93.1824947869819,-8.971401434867938e-13,2.2909579324067596e-12,2.1864063479351767e-12,7.342477753929514e-13,1.7213354183195908e-12,"(1.179625514199803e-12, Timestamp('2023-05-05 02:00:42'))","(1.1278069630648542e-12, Timestamp('2023-05-05 02:00:42'))"
60069.08416666667,144.94691879674792,-90.08143997068207,-92.32743704248634,-3.4005458506974854e-12,2.1133672206354646e-12,2.166059724116084e-12,7.01088443810131e-13,1.719556127121659e-12,"(1.1812342211308375e-12, Timestamp('2023-05-05 02:01:12'))","(1.1351682066368752e-12, Timestamp('2023-05-05 02:01:12'))"
60069.08451388889,123.46490547433496,-83.22523149282982,-91.59143971947746,-2.8961758738956056e-12,1.952254420986174e-12,2.1485046050276674e-12,6.909255224978602e-13,1.719812775127668e-12,"(1.1813527910252186e-12, Timestamp('2023-05-05 02:01:42'))","(1.1428789288990368e-12, Timestamp('2023-05-05 02:01:42'))"
60069.084861111114,109.98216964676976,-77.02127446470162,-90.92056436965035,-2.579551413799031e-12,1.8064777052146434e-12,2.132475392296698e-12,6.862504882066812e-13,1.7215075742221922e-12,"(1.1800711783782148e-12, Timestamp('2023-05-05 02:02:12'))","(1.1522897825629331e-12, Timestamp('2023-05-05 02:02:12'))"
60069.08520833333,98.0728822350502,-71.54360217992216,-90.29679965304418,-2.2999065728532022e-12,1.6777685854570669e-12,2.1175497068793653e-12,6.832252818506717e-13,1.7244737243600837e-12,"(1.1775102130503572e-12, Timestamp('2023-05-05 02:02:42'))","(1.1632568149049311e-12, Timestamp('2023-05-05 02:02:42'))"
60069.08555555555,84.55804301053286,-66.91820558197796,-89.71824675750815,-1.982688272934069e-12,1.569075356162772e-12,2.103682977764264e-12,6.810206689945617e-13,1.7287384187531575e-12,"(1.1738184383407136e-12, Timestamp('2023-05-05 02:03:12'))","(1.1756577454956924e-12, Timestamp('2023-05-05 02:03:12'))"
60069.08590277778,68.9482189193368,-63.24872049397479,-89.18698201876961,-1.616440953226884e-12,1.4828203490690657e-12,2.090924065761721e-12,6.793635317121417e-13,1.734324660680065e-12,"(1.169169129240787e-12, Timestamp('2023-05-05 02:03:42'))","(1.1893571659522913e-12, Timestamp('2023-05-05 02:03:42'))"
60069.08625,50.57892502844334,-60.61793112003555,-88.71171811711457,-1.1856125091542427e-12,1.4209352487137332e-12,2.07947722592105e-12,6.781368077623486e-13,1.74124663384869e-12,"(1.1637573869543435e-12, Timestamp('2023-05-05 02:04:12'))","(1.2041915843461104e-12, Timestamp('2023-05-05 02:04:12'))"
60069.086597222224,27.392543952912092,-59.13735181763768,-88.31638837088313,-6.420090872061924e-13,1.3860237780579267e-12,2.0699035467755643e-12,6.772795775474994e-13,1.7496208309726165e-12,"(1.1577966820574776e-12, Timestamp('2023-05-05 02:04:42'))","(1.2199643470102929e-12, Timestamp('2023-05-05 02:04:42'))"
60069.08694444445,-1.866430003196001,-58.88998410267134,-88.03662459984835,4.3737661071506906e-14,1.380019695771352e-12,2.0630380148380508e-12,6.767544276967504e-13,1.7596252762007019e-12,"(1.1515147720127363e-12, Timestamp('2023-05-05 02:05:12'))","(1.2364441418794652e-12, Timestamp('2023-05-05 02:05:12'))"
60069.08729166666,-35.90015413239598,-59.83223931770772,-87.9061976591539,8.411525396253009e-13,1.4018892472704746e-12,2.0596714191562734e-12,6.765346321781528e-13,1.771312588873996e-12,"(1.1451488041718898e-12, Timestamp('2023-05-05 02:05:42'))","(1.253365467906009e-12, Timestamp('2023-05-05 02:05:42'))"
60069.08763888889,-71.1828527264297,-61.805212941082814,-87.93928883682109,1.6675853414065197e-12,1.4478973962895243e-12,2.060134756913839e-12,6.765984821344894e-13,1.7844518287234953e-12,"(1.1389397723899976e-12, Timestamp('2023-05-05 02:06:12'))","(1.2704309434746135e-12, Timestamp('2023-05-05 02:06:12'))"
60069.08798611111,-104.16532791778445,-64.5913452807193,-88.12494020046046,2.43988772468675e-12,1.512937496782206e-12,2.06417014309756e-12,6.769266396764805e-13,1.798582625034683e-12,"(1.1331265257322104e-12, Timestamp('2023-05-05 02:06:42'))","(1.2873155781265996e-12, Timestamp('2023-05-05 02:06:42'))"
60069.08833333333,-133.17063761875033,-67.95568029601127,-88.43650733594679,3.118810278339118e-12,1.5914985312714752e-12,2.0711524176176868e-12,6.775007105522307e-13,1.813206502897779e-12,"(1.1279392128482264e-12, Timestamp('2023-05-05 02:07:12'))","(1.3036727232380584e-12, Timestamp('2023-05-05 02:07:12'))"
60069.08868055556,-158.02409664541483,-71.6784572719286,-88.83828084700637,3.7003057541762875e-12,1.6784288822035952e-12,2.080244777775447e-12,6.78302475545554e-13,1.8279115732268157e-12,"(1.1235925502851924e-12, Timestamp('2023-05-05 02:07:42'))","(1.3191418953803694e-12, Timestamp('2023-05-05 02:07:42'))"
60069.08902777778,-179.02294301986694,-75.57609292467436,-89.2899357104674,4.191379438307785e-12,1.7694272955671687e-12,2.0905030063277707e-12,6.793133599603727e-13,1.842397371724399e-12,"(1.120278997278501e-12, Timestamp('2023-05-05 02:08:12'))","(1.333358209151038e-12, Timestamp('2023-05-05 02:08:12'))"
60069.089375,-196.13674953579903,-79.50213615559042,-89.75327807834579,4.591362806714514e-12,1.861064547378495e-12,2.101033405136588e-12,6.805140659862457e-13,1.8564620620085605e-12,"(1.1181621546621079e-12, Timestamp('2023-05-05 02:08:42'))","(1.345963334382418e-12, Timestamp('2023-05-05 02:08:42'))"
60069.08972222222,-208.54649065434933,-83.3293134773771,-90.1973377596587,4.881130577556781e-12,1.950362524658273e-12,2.1111119250747506e-12,6.818844235156898e-13,1.869923513056278e-12,"(1.1173707471733093e-12, Timestamp('2023-05-05 02:09:12'))","(1.356617856527664e-12, Timestamp('2023-05-05 02:09:12'))"
60069.09006944444,-215.44598346576095,-86.93960240855813,-90.59561319638871,5.041868831250167e-12,2.0345613528444016e-12,2.1201193499876013e-12,6.834032537692631e-13,1.8825374618966024e-12,"(1.117993094198817e-12, Timestamp('2023-05-05 02:09:42'))","(1.3650142388376077e-12, Timestamp('2023-05-05 02:09:42'))"
60069.090416666666,-217.03651163354516,-90.23026852266243,-90.92166137465587,5.0783480368515e-12,2.1112609282549114e-12,2.1274385451277002e-12,6.850484158813043e-13,1.8940036375889194e-12,"(1.1200724849841398e-12, Timestamp('2023-05-05 02:10:12'))","(1.3708900865947024e-12, Timestamp('2023-05-05 02:10:12'))"
60069.09076388889,-214.17737117782235,-93.11729820383091,-91.14922959951477,5.0107286535285526e-12,2.1785005189073515e-12,2.132457103146266e-12,6.867967113992195e-13,1.904036954420414e-12,"(1.1236031342418406e-12, Timestamp('2023-05-05 02:10:42'))","(1.374040363294886e-12, Timestamp('2023-05-05 02:10:42'))"
60069.09111111111,-208.44101202860475,-95.55300451430182,-91.25865645158208,4.875840168343017e-12,2.2351703874511894e-12,2.1347172444863037e-12,6.886239358610673e-13,1.9124635252054867e-12,"(1.1285273151357932e-12, Timestamp('2023-05-05 02:11:12'))","(1.3743282651283608e-12, Timestamp('2023-05-05 02:11:12'))"
