MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,nrlmsise00_rho,rho_eff_360
52275.182488425926,63.13844536989927,-153.62667457790425,-184.22572509706436,-2.0966300653526723e-12,5.1014608116046966e-12,6.1175594645547685e-12,1.2821739786876888e-11,9.809273577493456e-12,5.294047288397852e-12
52275.18283564815,37.63813428580761,-151.4520282179738,-182.11044018059556,-1.2496891979840076e-12,5.02862236049089e-12,6.046565650827657e-12,1.2711321150061393e-11,9.754823334894373e-12,5.266251483126423e-12
52275.18318287037,9.401512552052736,-148.80831012452643,-180.10819747056811,-3.1212263642496105e-13,4.940315914152479e-12,5.97944693739594e-12,1.2588497436902316e-11,9.693031481037448e-12,5.242010614312272e-12
52275.183530092596,-21.873474467545748,-144.69878649997216,-178.25832226303302,7.261168298619654e-13,4.803453804018454e-12,5.917503780672536e-12,1.2453988668876706e-11,9.62218813287514e-12,5.221634748364351e-12
52275.18387731481,-51.34161867946386,-139.6238667504862,-176.57034495417028,1.7042251375887752e-12,4.634651373364315e-12,5.86104661604644e-12,1.2308562256633439e-11,9.540547554062476e-12,5.2050625507384246e-12
52275.184224537035,-76.44685105979443,-133.8965041153133,-175.034117040183,2.5374237581359656e-12,4.444292550491087e-12,5.8097321329131265e-12,1.2153028606220933e-11,9.446441986869866e-12,5.191566708385755e-12
52275.18457175926,-96.4330728687346,-127.63070316830029,-173.63291592848384,3.200682543761944e-12,4.236154169170793e-12,5.763000457231784e-12,1.1988232127726365e-11,9.338394325674491e-12,5.180096572823916e-12
52275.18491898148,-112.21765271574259,-120.9088786293442,-172.35222721447548,3.724500610085758e-12,4.012962143848184e-12,5.720365378128247e-12,1.1815044089492042e-11,9.215221171181805e-12,5.169761886092232e-12
52275.185266203705,-128.1999450996518,-113.88453492317349,-171.1880997311117,4.2549257702041045e-12,3.779800701908696e-12,5.681692426092589e-12,1.1634353237856973e-11,9.076145345745111e-12,5.160238432354568e-12
52275.18561342593,-144.65744499489665,-106.72219992602865,-170.12733406637693,4.801192530845084e-12,3.5421186180792923e-12,5.646540249904812e-12,1.1447054707635101e-11,8.920833733129042e-12,5.151418510879552e-12
52275.185960648145,-157.79693549126387,-99.51662041836728,-169.14238262652523,5.237424729898921e-12,3.303047725182068e-12,5.613990505482493e-12,1.1254042714756922e-11,8.749460961748995e-12,5.142933144276666e-12
52275.18630787037,-170.53506141901016,-92.3776769099757,-168.227973770433,5.660441770838711e-12,3.0662226097276894e-12,5.583864349243831e-12,1.105620589270274e-11,8.562716459833525e-12,5.134733026098609e-12
52275.18665509259,-187.77204475924373,-85.45528062079102,-167.400346390427,6.23291859019341e-12,2.8366086543630833e-12,5.556698987644933e-12,1.0854417818019029e-11,8.36177882945585e-12,5.127317804324117e-12
52275.187002314815,-207.3518317118287,-78.8300039542839,-166.65898055347304,6.883329755528269e-12,2.6168705979942363e-12,5.532474492263123e-12,1.0649527029266233e-11,8.148258271358871e-12,5.121059268664417e-12
52275.18734953704,-226.197502810508,-72.5285982693856,-165.9855791973571,7.50956472555447e-12,2.4078877812102306e-12,5.510580068319372e-12,1.044235292849932e-11,7.924118082692455e-12,5.116131661019075e-12
52275.18769675926,-244.00400410965085,-66.60831349790097,-165.3577348291253,8.101511065907906e-12,2.2115538261503647e-12,5.490268585713909e-12,1.0233683769265416e-11,7.691579971406619e-12,5.112751916471576e-12
52275.188043981485,-260.622843131423,-61.14482887517661,-164.75459326538774,8.654247839164786e-12,2.030376527287977e-12,5.470844633678024e-12,1.0024270722527598e-11,7.453017383512332e-12,5.111134949820226e-12
52275.1883912037,-276.89013151824474,-56.19990593319138,-164.16749804969876,9.195547101652902e-12,1.8664041195092993e-12,5.45201792710711e-12,9.814824591883273e-12,7.210851759529215e-12,5.11168306357599e-12
52275.188738425924,-294.1106332987547,-51.813202111112574,-163.60341103252853,9.768757527520145e-12,1.7209531069001194e-12,5.434016564197281e-12,9.606011638296273e-12,6.967456982125241e-12,5.115174323167575e-12
52275.18908564815,-312.97747272625566,-48.00974734456589,-163.08555254917593,1.0396934095956968e-11,1.5948565714874296e-12,5.41760953939183e-12,9.398450019181455e-12,6.725079516474986e-12,5.1227407120909035e-12
52275.18943287037,-333.4785972908139,-44.804771470464765,-162.6421142893326,1.1079717186016099e-11,1.488623859251512e-12,5.4037309845406145e-12,9.192707041321898e-12,6.485778127423828e-12,5.1357562431232766e-12
52275.189780092594,-354.164132874459,-42.19360927225401,-162.28565299881416,1.1768970014271113e-11,1.402105058715956e-12,5.3927961829112366e-12,8.989295353761276e-12,6.251382902726777e-12,5.155426853454585e-12
52275.19012731482,-373.1763663068414,-40.15846803225577,-162.0179692402482,1.2402967980379041e-11,1.3347152663349473e-12,5.38486320722823e-12,8.78867037887365e-12,6.023474592114274e-12,5.178746081977142e-12
