MJD,UTC,EDR,rho_eff,jb08_rho
60069.94180555556,2023-05-05 22:36:12,-32.04575750604272,8.479516347086802e-15,6.067550283810769e-13
60069.94215277778,2023-05-05 22:36:42,-15.82908483594656,4.1884790397144725e-15,6.079318221483509e-13
60069.9425,2023-05-05 22:37:12,-1.338554948568344,3.541903656269924e-16,6.092428245441355e-13
60069.94284722222,2023-05-05 22:37:42,12.3295133151114,-3.2624696010820565e-15,6.10667918790455e-13
60069.94319444445,2023-05-05 22:38:12,25.851805306971073,-6.840556215930643e-15,6.121860276606117e-13
60069.94354166667,2023-05-05 22:38:42,39.14682995900512,-1.0358506411072285e-14,6.137751690999655e-13
60069.94388888889,2023-05-05 22:39:12,51.50449848547578,-1.3628426064627949e-14,6.15412403116382e-13
60069.944236111114,2023-05-05 22:39:42,62.0610060878098,-1.6421746795625125e-14,6.17073879597322e-13
60069.94458333333,2023-05-05 22:40:12,69.93576670438051,-1.850545979148785e-14,6.187349318186615e-13
60069.94493055555,2023-05-05 22:40:42,74.35161462053657,-1.967392193766223e-14,6.203700964254962e-13
60069.94527777778,2023-05-05 22:41:12,74.65131786093116,-1.9753225368879968e-14,6.219532571178238e-13
60069.945625,2023-05-05 22:41:42,69.97799356281757,-1.851663329351337e-14,6.234577371110577e-13
60069.945972222224,2023-05-05 22:42:12,59.58187736943364,-1.5765753174939482e-14,6.248564277691657e-13
60069.94631944445,2023-05-05 22:42:42,43.99648313224315,-1.164175625631058e-14,6.261219006608648e-13
60069.94666666666,2023-05-05 22:43:12,24.96922119706869,-6.607018706755361e-15,6.272265977585949e-13
60069.94701388889,2023-05-05 22:43:42,4.300898022949696,-1.1380456550567844e-15,6.281430956909937e-13
60069.94736111111,2023-05-05 22:44:12,-16.708857271820307,4.421272561612063e-15,6.288442664923152e-13
60069.94770833333,2023-05-05 22:44:42,-37.26223935931921,9.85983145247318e-15,6.293036120679786e-13
60069.94805555556,2023-05-05 22:45:12,-56.33651240542531,1.490700844845323e-14,6.294953744522556e-13
60069.94840277778,2023-05-05 22:45:42,-72.90229155868292,1.9290421607146388e-14,6.293948592467726e-13
60069.94875,2023-05-05 22:46:12,-87.24836655333638,2.3086486574896292e-14,6.289786652623208e-13
60069.94909722222,2023-05-05 22:46:42,-101.45577781274916,2.6845860214332304e-14,6.282249047344656e-13
60069.94944444444,2023-05-05 22:47:12,-117.66787678003313,3.113568729012389e-14,6.271133254879e-13
60069.949791666666,2023-05-05 22:47:42,-136.2719625234604,3.605844966059521e-14,6.256254565861997e-13
60069.95013888889,2023-05-05 22:48:12,-155.62729321420193,4.117999634160176e-14,6.237447623996328e-13
60069.95048611111,2023-05-05 22:48:42,-173.20701102912426,4.583170428018608e-14,6.214568712562297e-13
