MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,nrlmsise00_rho,rho_eff_360
60068.945625,-127.0713559910655,23.518783418337502,-62.75216014183619,4.345179553073616e-12,-8.042200858367499e-13,2.145797540546269e-12,6.627096591306944e-13,1.1863571714361107e-12,2.145797540546269e-12
60068.945972222224,-132.98347659409046,29.574462335867185,-63.56880335639729,4.547066553730323e-12,-1.0112312595229199e-12,2.173590185830492e-12,6.633146653555778e-13,1.1827211031733977e-12,2.173590185830492e-12
60068.94631944445,-141.32884284853935,35.17059036518137,-64.46259691377823,4.832114930038869e-12,-1.2025028393107692e-12,2.204013495744578e-12,6.640272900830922e-13,1.1782772191592465e-12,2.204013495744578e-12
60068.94666666666,-152.1390147358179,40.24695838969201,-65.45891984357414,5.201385492843722e-12,-1.3759780544309277e-12,2.2379340147746367e-12,6.648692771663902e-13,1.173093069104389e-12,2.2379340147746367e-12
60068.94701388889,-165.13271041959524,44.73379214641948,-66.57885007476538,5.645242212840214e-12,-1.529273583190825e-12,2.276070767380956e-12,6.65861797426465e-13,1.1672563447535506e-12,2.276070767380956e-12
60068.94736111111,-179.96718366071582,48.561951178188124,-67.83872044794262,6.151949792508836e-12,-1.6600286752150332e-12,2.318980570205393e-12,6.670254676547858e-13,1.160874300732135e-12,2.318980570205393e-12
60068.94770833333,-196.5953802615404,51.67043103594333,-69.25362879754259,6.719881580430509e-12,-1.766161429172028e-12,2.3671776209362893e-12,6.683803335846505e-13,1.1540721511277026e-12,2.3671776209362893e-12
60068.94805555556,-214.6486864797771,54.01275006774813,-70.83400985930601,7.33641971869372e-12,-1.8460872561418454e-12,2.4210165699519338e-12,6.699459713584263e-13,1.1469907999682784e-12,2.4210165699519338e-12
60068.94840277778,-232.9256917051971,55.56189070486774,-72.57693116947688,7.960486977147484e-12,-1.8988875986320525e-12,2.4803949756954147e-12,6.717414639267017e-13,1.139783692318551e-12,2.4803949756954147e-12
60068.94875,-250.06513146311045,56.3048299493889,-74.46510351302618,8.545555183371156e-12,-1.9241228419477264e-12,2.5447196399706135e-12,6.737856268942891e-13,1.1326135514612424e-12,2.5447196399706135e-12
