MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,nrlmsise00_rho,rho_eff_360
60068.920625,-377.4334012642503,-79.88191947885431,-79.88191947885431,1.2948543179605008e-11,2.7404953567357936e-12,2.7404953567357936e-12,3.8068681477099685e-13,5.53942895042951e-13,2.7404953567357936e-12
60068.92097222222,-421.9961129873991,-104.31864758660751,-104.31864758660751,1.4478926372150429e-11,3.57923206201167e-12,3.57923206201167e-12,3.798185703945457e-13,5.597803263711546e-13,3.57923206201167e-12
60068.921319444446,-459.9533098116517,-128.02762506827713,-128.02762506827713,1.5782835067684475e-11,4.393139145769827e-12,4.393139145769827e-12,3.789668510535889e-13,5.660014882237621e-13,4.393139145769827e-12
60068.92166666667,-492.3476901166141,-150.79762913379818,-150.79762913379818,1.689594554051518e-11,5.174937509872319e-12,5.174937509872319e-12,3.783819028285749e-13,5.725976037243975e-13,5.174937509872319e-12
60068.92201388889,-518.663041703403,-172.4367710496573,-172.4367710496573,1.7800456535546372e-11,5.9180103485273e-12,5.9180103485273e-12,3.781559918183732e-13,5.795576124922517e-13,5.9180103485273e-12
60068.92236111111,-538.5880873315036,-192.7785108430932,-192.7785108430932,1.848560766075446e-11,6.6166110998227295e-12,6.6166110998227295e-12,3.78328406230281e-13,5.86871316173648e-13,6.6166110998227295e-12
60068.92270833333,-551.5710390023887,-211.66232811463507,-211.66232811463507,1.8932391770974375e-11,7.265200374317407e-12,7.265200374317407e-12,3.789167588349843e-13,5.945294580310551e-13,7.265200374317407e-12
60068.923055555555,-557.5616182126105,-228.95729261953383,-228.95729261953383,1.9139028281147086e-11,7.859257085643163e-12,7.859257085643163e-12,3.7992845466926153e-13,6.025227008713485e-13,7.859257085643163e-12
60068.92340277778,-557.1770569011569,-244.58680520437304,-244.58680520437304,1.912666321218608e-11,8.396127211890033e-12,8.396127211890033e-12,3.8136553929100725e-13,6.108401858163727e-13,8.396127211890033e-12
60068.92375,-550.9255364798009,-258.51129298961973,-258.51129298961973,1.8912716174819255e-11,8.8744310956032e-12,8.8744310956032e-12,3.832270025008517e-13,6.194680069351592e-13,8.8744310956032e-12
60068.924097222225,-539.4683290459216,-270.7268162964155,-270.7268162964155,1.8519876576703558e-11,9.29401589279714e-12,9.29401589279714e-12,3.8550986458352545e-13,6.283875950825906e-13,9.29401589279714e-12
60068.92444444444,-524.0198532417417,-281.2806928358041,-281.2806928358041,1.7989837021067877e-11,9.65649257367887e-12,9.65649257367887e-12,3.8820977030822676e-13,6.375743629787243e-13,9.65649257367887e-12
