utc,x_TLE,y_TLE,z_TLE
2020-03-01 04:04:59.989,528.473857775637,-18167.99448857919,-19777.546476743784
2020-03-01 04:09:59.989,1554.957586770554,-17767.187563654086,-20101.965464739646
2020-03-01 04:14:59.989,2578.568502140287,-17333.549081687037,-20389.23174977107
2020-03-01 04:19:59.989,3597.4214598769454,-16867.923219633172,-20638.864806972077
2020-03-01 04:24:59.989,4609.64467254267,-16371.208744719954,-20850.452188860003
2020-03-01 04:29:59.989,5613.382703632242,-15844.357260932675,-21023.649848273457
2020-03-01 04:34:59.989,6606.799407193419,-15288.371402293711,-21158.182364248867
2020-03-01 04:39:59.989,7588.080811510312,-14704.302975617093,-21253.84307338584
2020-03-01 04:44:59.989,8555.437945675178,-14093.251056403364,-21310.49410834468
2020-03-01 04:49:59.989,9507.1096083117,-13456.360039353112,-21328.066346393556
2020-03-01 04:54:59.989,10441.365077570365,-12794.817646756655,-21306.559269425907
2020-03-01 04:59:59.989,11356.506761788907,-12109.852896641552,-21246.04073757892
2020-03-01 05:04:59.989,12250.872790242194,-11402.734032770135,-21146.64667816977
2020-03-01 05:09:59.989,13122.839543471724,-10674.766418350513,-21008.58069156611
2020-03-01 05:14:59.989,13970.824122722413,-9927.290395161102,-20832.11357545901
2020-03-01 05:19:59.989,14793.28675802558,-9161.679109640561,-20617.58276885835
2020-03-01 05:24:59.989,15588.733154460064,-8379.336307356665,-20365.391716976403
2020-03-01 05:29:59.989,16355.71677609034,-7581.694097146638,-20076.0091580131
2020-03-01 05:34:59.989,17092.84106703649,-6770.210686109097,-19749.968332703636
2020-03-01 05:39:59.988,17798.761609047295,-5946.368086549381,-19387.866117344365
2020-03-01 05:44:59.988,18472.188214888247,-5111.669795874107,-18990.36208085685
2020-03-01 05:49:59.988,19111.886956707214,-4267.638450422546,-18558.17746633081
2020-03-01 05:54:59.988,19716.68212847307,-3415.813454121079,-18092.09409733063
2020-03-01 05:59:59.988,20285.458141404306,-2557.748582875075,-17592.953209147912
2020-03-01 06:04:59.988,20817.1613511845,-1695.0095655749096,-17061.654205056064
2020-03-01 06:09:59.988,21310.80181558924,-829.1716426246469,-16499.15333752903
2020-03-01 06:14:59.988,21765.454980987288,38.18289707747905,-15906.462314291262
2020-03-01 06:19:59.988,22180.26329599766,905.4671997169934,-15284.646828996938
2020-03-01 06:24:59.988,22554.437750402445,1771.0923496471066,-14634.825016270823
2020-03-01 06:29:59.988,22887.259337225245,2633.4698908325877,-13958.165830803844
2020-03-01 06:34:59.988,23178.080435692194,3491.0143654014714,-13255.887350168074
2020-03-01 06:39:59.988,23426.326112598537,4342.145867925324,-12529.25500101001
2020-03-01 06:44:59.988,23631.495339410372,5185.292613905139,-11779.579708292327
2020-03-01 06:49:59.988,23793.16212223783,6018.8935207774775,-11008.21596728629
2020-03-01 06:54:59.988,23910.976541630953,6841.400799574806,-10216.559838074518
2020-03-01 06:59:59.988,23984.665698965768,7651.2825551793485,-9406.046862396546
2020-03-01 07:04:59.988,24014.034566017854,8447.025392896603,-8578.149902773355
2020-03-01 07:09:59.988,23998.966734157555,9227.137028849773,-7734.376903966534
2020-03-01 07:14:59.988,23939.425059452667,9990.148901453582,-6876.268576979577
2020-03-01 07:19:59.988,23835.452199831132,10734.618780973418,-6005.396005979738
2020-03-01 07:24:59.988,23687.171040340683,11459.133373915609,-5123.358178712621
2020-03-01 07:29:59.988,23494.785002446646,12162.31091871206,-4231.779441213031
2020-03-01 07:34:59.988,23258.578233234643,12842.803768882428,-3332.3068778926286
2020-03-01 07:39:59.988,22978.915670345672,13499.300959624066,-2426.607618082594
2020-03-01 07:44:59.988,22656.24297842468,14130.530753294866,-1516.3660712457247
2020-03-01 07:49:59.988,22291.086352914186,14735.26315930013,-603.2810919969816
2020-03-01 07:54:59.988,21884.05734149146,15311.788675303822,310.37073696969435
2020-03-01 07:59:59.988,21435.84790469839,15860.03530194253,1224.01593077866
2020-03-01 08:04:59.988,20947.210828177846,16378.369674996462,2135.351629225264
2020-03-01 08:09:59.988,20418.989651318265,16865.753208457932,3042.6507671367613
2020-03-01 08:14:59.988,19852.105340163125,17321.201095863573,3944.1869591235254
2020-03-01 08:19:59.988,19247.555211886367,17743.78456201171,4838.237692544364
2020-03-01 08:24:59.988,18606.41170036024,18132.63304829555,5723.0875660416605
2020-03-01 08:29:59.988,17929.82096000037,18486.9363248568,6597.031568451631
2020-03-01 08:34:59.988,17219.001305432077,18805.94652257578,7458.378392430347
2020-03-01 08:39:59.988,16475.241484928018,19088.98007775513,8305.453776668837
2020-03-01 08:44:59.988,15699.898786014048,19335.419582223243,9136.603870103341
2020-03-01 08:49:59.988,14894.396972134555,19544.71553148983,9950.19861106441
2020-03-01 08:54:59.988,14060.224049804823,19716.387963526275,10744.635113851631
2020-03-01 08:59:59.988,13198.929866255696,19850.02798072686,11518.341054779761
2020-03-01 09:04:59.988,12312.123538195456,19945.299147631038,12269.778049313876
2020-03-01 09:09:59.988,11401.470712970602,20001.938757058182,12997.44501150546
2020-03-01 09:14:59.988,10468.69066409885,20019.758957425776,13699.881486562796
2020-03-01 09:19:59.988,9515.553223872876,19998.647734190585,14375.670947037048
2020-03-01 09:24:59.988,8543.875556485516,19938.569738574555,15023.444042791822
2020-03-01 09:29:59.988,7555.518775904689,19839.56695701216,15641.881794648021
2020-03-01 09:34:59.988,6552.38441352183,19701.759215085414,16229.718721364097
2020-03-01 09:39:59.988,5536.4107414082255,19525.34451009726,16785.74588942905
2020-03-01 09:44:59.988,4509.568957833447,19310.59916687414,17308.81387501458
2020-03-01 09:49:59.988,3473.859242520633,19057.877811882387,17797.835627358592
2020-03-01 09:54:59.988,2431.306689931565,18767.613161290883,18251.789222838197
2020-03-01 09:59:59.988,1383.95712968078,18440.315619212208,18669.720499039453
2020-03-01 10:04:59.988,333.87284396878925,18076.572683003138,19050.745558245057
2020-03-01 10:09:59.988,-716.8718073127656,17677.048153201504,19394.053129944656
